CGD:DEHA2E15884g	DEHA2E15884g	GO:0005886
CGD:DEHA2E11110g	DEHA2E11110g	GO:0070509|GO:0005886
CGD:DEHA2F15598g	DEHA2F15598g	GO:0044182|GO:1900429|GO:0030447
CGD:DEHA2F03630g	DEHA2F03630g	GO:0003676|GO:0000166
CGD:DEHA2E08602g	DEHA2E08602g	GO:0005886
CGD:DEHA2D16720g	DEHA2D16720g	GO:0030447|GO:0005934|GO:0000131|GO:0005935|GO:0036180|GO:0071216|GO:0030010|GO:0006887|GO:0001411|GO:0000145
CGD:DEHA2A10032g	DEHA2A10032g	GO:0016579|GO:0006511
CGD:DEHA2F21406g	DEHA2F21406g	GO:0001165|GO:0042790|GO:0006360|GO:0000500
CGD:DEHA2C11374g	DEHA2C11374g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2F08316g	DEHA2F08316g	GO:0000032|GO:0000031|GO:0000030|GO:0016020|GO:0006486|GO:0006487|GO:0000026
CGD:DEHA2F23452g	DEHA2F23452g	GO:0008144|GO:0035690|GO:0009303|GO:0016772|GO:0045944|GO:0016773|GO:0004674|GO:0016301|GO:0044877
CGD:DEHA2D01452g	DEHA2D01452g	GO:0016491|GO:0055114|GO:0005886
CGD:DEHA2A07524g	DEHA2A07524g	GO:0004045
CGD:DEHA2G17380g	DEHA2G17380g	GO:0016020|GO:0016021
CGD:DEHA2A09570g	DEHA2A09570g	GO:0003723|GO:0000178
CGD:DEHA2C08470g	DEHA2C08470g	GO:0031177|GO:0006633
CGD:DEHA2D06138g	DEHA2D06138g	GO:0004781|GO:0000103
CGD:DEHA2D08184g	DEHA2D08184g	GO:0030447|GO:0016570|GO:0016593|GO:0006368
CGD:DEHA2F05676g	DEHA2F05676g	GO:0003676|GO:0005524|GO:0003677|GO:0008270|GO:0004386
CGD:DEHA2A02838g	DEHA2A02838g	GO:0000166|GO:0016887|GO:0005524|GO:0017111|GO:0005886
CGD:DEHA2E23738g	DEHA2E23738g	GO:0008194|GO:0005975|GO:0016758|GO:0008152|GO:0016906|GO:0005543|GO:0030259
CGD:DEHA2D18766g	DEHA2D18766g	GO:0016579|GO:0006511
CGD:DEHA2A04884g	DEHA2A04884g	GO:0003676|GO:0000166
CGD:DEHA2C03784g	DEHA2C03784g	GO:0000166|GO:0016887|GO:0005524|GO:0016020|GO:0017111
CGD:DEHA2F25498g	DEHA2F25498g	GO:0000166|GO:0016887|GO:0005524|GO:0035690|GO:0016020|GO:0017111|GO:0005886|GO:0097042
CGD:DEHA2G05412g	DEHA2G05412g	GO:0030833|GO:0005856|GO:0035690|GO:0034314|GO:0005885
CGD:DEHA2E18502g	DEHA2E18502g	GO:0019211
CGD:DEHA2B04620g	DEHA2B04620g	GO:0030448|GO:0042802|GO:0030427|GO:0043130|GO:0006897|GO:0008092|GO:0030036|GO:0000147|GO:0030674
CGD:DEHA2F18216g	DEHA2F18216g	GO:0008270
CGD:DEHA2B09306g	DEHA2B09306g	GO:0045454
CGD:DEHA2C16324g	DEHA2C16324g	GO:0030170|GO:0003867|GO:0003824|GO:0008483|GO:0062040|GO:0009448
CGD:DEHA2G00726g	DEHA2G00726g	GO:0016998|GO:0052861|GO:0052862
CGD:DEHA2D16038g	DEHA2D16038g	GO:0055085|GO:0022857|GO:0016020|GO:0016021
CGD:DEHA2D08844g	DEHA2D08844g	GO:0036177|GO:0036178|GO:0000815|GO:0007165|GO:0035690|GO:0015031|GO:0045324|GO:0007034|GO:0006623|GO:0009405|GO:0044182|GO:0031505|GO:0030447|GO:0071285|GO:0016485|GO:0071467
CGD:DEHA2A02156g	DEHA2A02156g	GO:0017056|GO:0006810|GO:0005643
CGD:DEHA2E23056g	DEHA2E23056g	GO:0016021|GO:0006820
CGD:DEHA2E15862g	DEHA2E15862g	GO:0016779|GO:0009058
CGD:DEHA2A12738g	DEHA2A12738g	GO:0030447|GO:0005634|GO:0008270|GO:0036180|GO:0071216|GO:0036170|GO:0006355|GO:0009267|GO:0042025|GO:0000981
CGD:DEHA2C11638g	DEHA2C11638g	GO:0031625|GO:0031461|GO:0006511
CGD:DEHA2E00594g	DEHA2E00594g	GO:0055085|GO:0022857|GO:0016021
CGD:DEHA2C13684g	DEHA2C13684g	GO:0003676|GO:0000166|GO:0005524|GO:0006418|GO:0004812|GO:0005737|GO:0004816|GO:0006421
CGD:DEHA2A10010g	DEHA2A10010g	GO:0003676|GO:0000166
CGD:DEHA2D13398g	DEHA2D13398g	GO:0045261|GO:0005524|GO:0046034|GO:1902600|GO:0046961|GO:0033178|GO:0005886|GO:0030446|GO:0015986|GO:0009986|GO:0046933
CGD:DEHA2G15312g	DEHA2G15312g	GO:0004843|GO:0005622|GO:0006511
CGD:DEHA2F23430g	DEHA2F23430g	GO:0042254|GO:0005730
CGD:DEHA2A07502g	DEHA2A07502g	GO:0003677|GO:0003682
CGD:DEHA2C06402g	DEHA2C06402g	GO:0005506|GO:0009055|GO:0005886|GO:0020037
CGD:DEHA2B14520g	DEHA2B14520g	GO:0016758|GO:0016021
CGD:DEHA2G02090g	DEHA2G02090g	GO:0005634|GO:0008270|GO:0036180|GO:1900443|GO:0006355|GO:0042025|GO:0000981
CGD:DEHA2D08162g	DEHA2D08162g	GO:0006914
CGD:DEHA2F03608g	DEHA2F03608g	GO:1903561|GO:0007165|GO:0007264|GO:0015031|GO:0036180|GO:0006886|GO:0005886|GO:0005622|GO:0044182|GO:0005525|GO:0031505|GO:0005634|GO:0006913|GO:0003924|GO:0016020
CGD:DEHA2E15180g	DEHA2E15180g	GO:0044182|GO:1900429|GO:0006109|GO:0030447|GO:0005524|GO:0004713|GO:0004672|GO:0004674|GO:0006468|GO:0005993
CGD:DEHA2F05654g	DEHA2F05654g	GO:0017119
CGD:DEHA2F23892g	DEHA2F23892g	GO:0003676|GO:0003690|GO:0003697
CGD:DEHA2E23716g	DEHA2E23716g	GO:0009086|GO:0004414|GO:0016747|GO:0005737|GO:0009058
CGD:DEHA2D18744g	DEHA2D18744g	GO:0055114|GO:0008113
CGD:DEHA2F20790g	DEHA2F20790g	GO:0003677|GO:0006260|GO:0005664
CGD:DEHA2G17314g	DEHA2G17314g	GO:0005634|GO:0003677|GO:0006289|GO:0003684
CGD:DEHA2G19360g	DEHA2G19360g	GO:0016616|GO:0051287|GO:0008152|GO:0062040|GO:0055114
CGD:DEHA2F02970g	DEHA2F02970g	GO:0016407
CGD:DEHA2E15136g	DEHA2E15136g	GO:0003723
CGD:DEHA2G04092g	DEHA2G04092g	GO:0032040|GO:0035690
CGD:DEHA2G12628g	DEHA2G12628g	GO:0005634|GO:0003677|GO:0008270|GO:0006351|GO:0006355|GO:0042025|GO:0000981
CGD:DEHA2F20746g	DEHA2F20746g	GO:0003735|GO:0005840|GO:0005622|GO:0006412
CGD:DEHA2F07656g	DEHA2F07656g	GO:0036166|GO:0070403
CGD:DEHA2A04818g	DEHA2A04818g	GO:0030170|GO:0003824|GO:0009058
CGD:DEHA2C03718g	DEHA2C03718g	GO:0030447|GO:0055085|GO:0022857|GO:0036180|GO:0016021|GO:0071216|GO:0036170|GO:0009267
CGD:DEHA2B11836g	DEHA2B11836g	GO:0030447
CGD:DEHA2A06864g	DEHA2A06864g	GO:0007096
CGD:DEHA2C05764g	DEHA2C05764g	GO:0005811|GO:0016866|GO:0000250|GO:0006696|GO:0042300|GO:0016104
CGD:DEHA2F15510g	DEHA2F15510g	GO:0000439|GO:0006355|GO:0006289
CGD:DEHA2E12496g	DEHA2E12496g	GO:0000166|GO:0005524|GO:0017111
CGD:DEHA2B06600g	DEHA2B06600g	GO:0003677|GO:0003700|GO:0000083|GO:0006355
