Geneid	RNA STAR on 1MKCl3: mapped.bam
gene-DEHA2B03608g	8
gene-DEHA2B03630g	24047
gene-DEHA2B03652g	11101
gene-DEHA2B03674g	1310
gene-DEHA2B03696g	4089
gene-DEHA2B03718g	21332
gene-DEHA2B03740g	4288
gene-DEHA2B03762g	2599
gene-DEHA2B03784g	2144
gene-DEHA2B03806g	8176
gene-DEHA2B03828g	12019
gene-DEHA2B03850g	392
gene-DEHA2B03872g	1166
gene-DEHA2B03894g	5054
gene-DEHA2B03916g	201
gene-DEHA2B03938g	12448
gene-DEHA2B03960g	5290
gene-DEHA2B03982g	3467
gene-DEHA2B04004g	2048
gene-DEHA2B04048g	5314
gene-DEHA2B04070g	5344
gene-DEHA2B04092g	2505
gene-DEHA2B04114g	475
gene-DEHA2B04136g	2795
gene-DEHA2B04158g	1463
gene-DEHA2B04180g	23614
gene-DEHA2B04202g	7171
gene-DEHA2B04224g	2658
gene-DEHA2B04246g	2434
gene-DEHA2B04268g	3626
gene-DEHA2B04290g	141
gene-DEHA2B04312g	17192
gene-DEHA2B04334g	2358
gene-DEHA2B04356g	2645
gene-DEHA2B04378g	3207
gene-DEHA2B04400g	2514
gene-DEHA2B04422g	1091
gene-DEHA2B04444g	350
gene-DEHA2B04466g	3339
gene-DEHA2B04488g	1950
gene-DEHA2B04510g	2
gene-DEHA2B04532g	5317
gene-DEHA2B04554g	6283
gene-DEHA2B04576g	1399
gene-DEHA2B04598g	1301
gene-DEHA2B04620g	16940
gene-DEHA2B04642g	8890
gene-DEHA2B04664g	4942
gene-DEHA2B04686g	31545
gene-DEHA2B04708g	8371
gene-DEHA2B04730g	13228
gene-DEHA2B04752g	6371
gene-DEHA2B04774g	4630
gene-DEHA2B04796g	8907
gene-DEHA2B04818g	4015
gene-DEHA2B04840r	0
gene-DEHA2B04862g	231
gene-DEHA2B04884g	3553
gene-DEHA2B04906g	24358
gene-DEHA2B04928g	7494
gene-DEHA2B04950g	7829
gene-DEHA2B04972g	10970
gene-DEHA2B04994g	7069
gene-DEHA2B05016g	2300
gene-DEHA2B05038g	3746
gene-DEHA2B05060g	1766
gene-DEHA2B05082g	2562
gene-DEHA2B05104g	9394
gene-DEHA2B05126g	4780
gene-DEHA2B05148g	2303
gene-DEHA2B05170g	5350
gene-DEHA2B05192g	2970
gene-DEHA2B05214g	949
gene-DEHA2B05236g	6722
gene-DEHA2B05258g	2717
