ProteinID	Control5
Q6BIA3	188461.9531
Q6BIA5	7518.739258
Q6BIA6	45557.85156
Q6BIA9	300716.75
Q6BIB2	97515.55469
Q6BIB3	44858.76953
Q6BIB4	437835.5625
Q6BIB5	134938.7188
Q6BIB6	26413.33984
Q6BIB9	40933.38281
Q6BIC0	692020.5
Q6BIC2	13641.48633
Q6BID1	15560.59473
Q6BID3	739635.1875
Q6BIE4	129578.8047
Q6BIE5	55803.02734
Q6BIE6	327652.125
Q6BIE7	81394.05469
Q6BIE8	103305.4531
Q6BIE9	9067.62793
Q6BIF2	1239713.625
Q6BIF4	35790.52344
Q6BIF5	484585.9063
Q6BIF6	6191.219238
Q6BIF8	16083.43945
Q6BIF9	492253.4375
Q6BIG0	331864.4063
Q6BIG1	51571.39453
Q6BIG3	124292.375
Q6BIG8	6734.011719
Q6BIH0	40477.46484
Q6BIH2	496090.0313
Q6BIH3	108800.1328
Q6BIH4	3795426.75
Q6BIH5	43985.68359
Q6BIH6	3040692.75
Q6BIH7	26169.24219
Q6BIH8	26339.88867
Q6BIH9	21238508
Q6BII1	9154.876953
Q6BII3	12960.64063
Q6BII4	3427.250488
Q6BII5	292654.2813
Q6BII6	123252.8984
Q6BII7	186816.3125
Q6BII8	48618.24219
Q6BII9	38667.07031
Q6BIJ0	38675.83594
Q6BIJ1	24012.13086
Q6BIJ2	32251.88672
Q6BIJ4	88789.89063
Q6BIJ5	286905.5625
Q6BIJ6	156993.3438
Q6BIJ9	44267.76953
Q6BIK0	99383.79688
Q6BIK3	79577.33594
Q6BIK4	1759809.125
Q6BIK6	43078.57031
Q6BIK7	5603.181152
Q6BIK8	92424.54688
Q6BIK9	7699989.5
Q6BIL0	491566.5
Q6BIL1	99875.22656
Q6BIL2	4954742
Q6BIL3	112085.7734
Q6BIL4	49900.14453
Q6BIL7	704709.3125
Q6BIL9	461815.7188
Q6BIM1	346272.8125
Q6BIM2	9880.094727
Q6BIM3	220836.375
Q6BIM4	2172554.5
Q6BIM5	1958770
Q6BIM6	67027.71875
Q6BIM7	18338.21094
Q6BIM8	23067.26367
Q6BIN0	786.090332
Q6BIN1	179212.4219
Q6BIN4	142111.6719
Q6BIN5	24450.68945
Q6BIN6	113406.5391
Q6BIN9	33284.96094
Q6BIP0	627718.875
Q6BIP1	2853190
Q6BIP4	335658.7188
Q6BIP6	82679.20313
Q6BIP7	12194.32324
Q6BIP9	32211.78516
Q6BIQ0	157495.5625
Q6BIQ2	156311.1563
Q6BIQ4	49200.32422
Q6BIQ5	154386.9688
Q6BIQ7	64779.88672
Q6BIR1	534936.125
Q6BIR2	130164.7656
Q6BIR5	97753.0625
Q6BIR6	147818.8906
Q6BIR7	60401.11328
Q6BIR8	24390.4375
Q6BIR9	60162.86719
Q6BIS0	23840.5293
Q6BIS1	2117424.25
Q6BIS3	51748.63281
Q6BIS5	134295.1563
Q6BIS6	15647.87109
Q6BIS9	62497.3125
Q6BIT0	1080411.125
Q6BIT1	355528.1875
Q6BIT3	324939.9063
Q6BIT4	96159.88281
Q6BIT7	61570.64844
Q6BIT8	146060.9688
Q6BIU1	32760.6875
Q6BIU3	42220.89844
Q6BIU4	1106742.875
Q6BIU5	12202.54395
Q6BIU6	73934.05469
Q6BIU7	109861.3516
Q6BIU8	127268.9688
Q6BIV0	12559.07227
Q6BIV1	29724.9043
Q6BIV2	1957586.5
Q6BIV3	192753.2031
Q6BIV8	49243.19922
Q6BIW4	347660
Q6BIW5	157489.4063
Q6BIW6	295195.375
Q6BIW8	272626.4063
Q6BIW9	82572.89063
Q6BIX0	1292018
Q6BIX1	6691.757813
Q6BIX4	60695.30078
Q6BIX5	387577.0313
Q6BIX6	1132798.125
Q6BIX9	15334.19727
Q6BIY1	10441.65527
Q6BIY6	204166.9531
Q6BIY8	889244.375
Q6BIZ0	59124.9375
Q6BIZ9	948620.9375
Q6BJ01	875173.5625
Q6BJ02	85103.60938
Q6BJ07	1278874
Q6BJ08	29811.47656
Q6BJ09	98243.71875
Q6BJ10	14338.85938
Q6BJ12	76199.78125
Q6BJ14	15748.07617
Q6BJ15	8253379.5
Q6BJ16	1783095.125
Q6BJ17	74190.35938
Q6BJ18	353877.0625
Q6BJ20	582805.4375
Q6BJ21	794655.1875
Q6BJ23	4106011.25
Q6BJ24	7382176
Q6BJ25	10554047
Q6BJ27	23207.53906
Q6BJ28	66962.95313
Q6BJ31	822727.625
Q6BJ32	884524.25
Q6BJ33	24867.8457
Q6BJ34	55522.78906
Q6BJ38	37761.94531
Q6BJ40	174318.6875
Q6BJ43	63709.99219
Q6BJ44	83250.15625
Q6BJ47	119199.0078
Q6BJ49	128536.1406
Q6BJ51	30124.49805
Q6BJ52	27273.41406
Q6BJ53	78856.71094
Q6BJ54	761903.5
Q6BJ55	21169.24219
Q6BJ57	142872.5938
Q6BJ58	69978.60156
Q6BJ59	65881.16406
Q6BJ60	36071.52344
Q6BJ61	80441.21094
Q6BJ62	26782.91016
Q6BJ63	161734.7813
Q6BJ64	112772.2813
Q6BJ65	30927.25195
Q6BJ66	1174743.25
Q6BJ67	20364.84766
Q6BJ70	179436.5469
Q6BJ73	29445.55859
Q6BJ75	58361.10156
Q6BJ76	31482.05664
Q6BJ77	35205.29688
Q6BJ80	1886540.75
Q6BJ82	885354.25
Q6BJ85	83201.17969
Q6BJ86	263776.9688
Q6BJ88	344939.9688
Q6BJ89	74798.54688
Q6BJ90	64722.95313
Q6BJ93	151708.0625
Q6BJ95	740067.3125
Q6BJ97	15195.13672
Q6BJ98	240379.0156
Q6BJA1	101384.9219
Q6BJA2	619211.3125
Q6BJA3	505935.25
Q6BJA4	578364.9375
Q6BJA5	90232.03906
Q6BJA6	110649.9844
Q6BJA8	91580.42969
Q6BJA9	142388.8438
Q6BJB0	22642.86719
Q6BJB1	28545.85547
Q6BJB2	2064.529541
Q6BJB3	2319480
Q6BJB4	18155726
Q6BJB5	21366.71875
Q6BJB7	163965.6875
Q6BJC1	3613.350586
Q6BJC3	127429.2734
Q6BJC4	39746.82031
Q6BJC5	9514.408203
Q6BJC7	170725.1719
Q6BJD0	38181.39453
Q6BJD3	58965.51563
Q6BJD4	35083.07031
Q6BJD6	112857.5938
Q6BJD7	27280.44531
Q6BJD8	38971.04688
Q6BJE1	63083.23438
Q6BJE2	74695.05469
Q6BJE5	18413.07031
Q6BJE8	2298830.25
Q6BJE9	3994.904297
Q6BJF0	126732.4922
Q6BJF1	432004.8438
Q6BJF3	481237.4375
Q6BJF4	362540.4063
Q6BJF5	55174.69141
Q6BJF7	259792.7344
Q6BJG0	444734.5625
Q6BJG1	2318601.75
Q6BJG2	8562900
Q6BJG4	691782.1875
Q6BJG5	13150.50684
Q6BJG6	137336.6719
Q6BJG7	133343.1719
Q6BJG8	17841.24219
Q6BJG9	114673.5781
Q6BJH0	120216.1094
Q6BJH2	66287.30469
Q6BJH3	332046.4375
Q6BJH4	174070.2344
Q6BJH5	848932.9375
Q6BJH6	355956.7813
Q6BJH7	98422.625
Q6BJH8	52028.60938
Q6BJI0	25019.00977
Q6BJI1	411655.5
Q6BJI2	1065385.5
Q6BJI7	3967.866943
Q6BJI8	1982985.5
Q6BJJ3	137410.7813
Q6BJJ7	74981.76563
Q6BJJ8	51838.97656
Q6BJJ9	27318.18555
Q6BJK1	131846.125
Q6BJK7	2172187.75
Q6BJK9	8279.40918
Q6BJL0	17160.29492
Q6BJL1	73626.375
Q6BJL3	7138.580078
