ProteinID,Control1,Control4,Control5,KCl2,KCl3,KCl4,NaCl1,NaCl2,NaCl3
Q6BMK0_35,0.0,2.8684366772354634e-11,2.0093999542336713e-11,2.7179537999941605e-11,3.652876959261018e-11,0.0,3.802899005934796e-11,8.620227121170647e-11,1.8445153329777748e-11
Q6BMK0_36,0.0,1.923111489493866e-11,9.857462438867502e-12,5.8645339360970315e-12,4.868115186172991e-11,0.0,3.056858647764762e-11,2.8156645440737755e-11,2.2097851163498827e-11
Q6BMK0_37,0.0,1.5127258692694655e-10,1.3244796037413741e-11,0.0,8.050821372279216e-12,0.0,7.216694158971248e-11,0.0,2.442909983851466e-11
Q6BMK2_0,2.8222616954651674e-09,2.229595915308289e-09,1.7407034003656362e-09,1.7533333747490942e-09,1.7035020430949702e-09,1.261748113304263e-09,1.899365942612223e-09,2.133191478223938e-09,1.6014914649542245e-09
Q6BMK2_1,2.1766834039946452e-09,3.2523367874928626e-09,2.908255401120415e-09,1.1880654825594572e-09,9.018217315838249e-10,8.250270756954698e-10,1.995581248547174e-09,2.0487935368315487e-09,1.0108750745494041e-09
Q6BMK2_2,0.0,3.1886514680785466e-10,2.080888975472596e-10,0.0,0.0,0.0,0.0,0.0,2.3033592741326012e-10
Q6BMK2_3,0.0,0.0,0.0,0.0,0.0,0.0,2.0807723724970832e-10,2.660338916708336e-10,0.0
Q6BMK2_4,0.0,0.0,3.84737605098648e-11,0.0,0.0,0.0,0.0,0.0,0.0
Q6BMK2_5,0.0,5.574724815379056e-11,6.614404665642157e-11,0.0,0.0,2.987592650725049e-10,0.0,0.0,0.0
Q6BMK2_6,0.0,1.778947312175615e-11,0.0,0.0,0.0,2.770347948159116e-11,0.0,0.0,0.0
Q6BML2_0,0.0,4.603854261527826e-10,6.589867078135864e-10,2.1437426454382556e-10,4.531284635960799e-10,3.2393738260243044e-10,5.024752090922514e-10,3.7182045483728595e-10,5.453432900784401e-10
Q6BML2_1,0.0,7.852073418191075e-10,9.016418452225814e-10,3.281856268724835e-10,4.673746784199523e-10,1.939957705570765e-10,4.546004844296276e-10,4.1557057719371315e-10,6.09072586608152e-10
